origins,destinations,path,free_flow_time
7,7,-659278038#3 659278038#3 100475365#0 100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -101605219 -100488715#5 -100488715#4 -100488715#3 -100488715#2 -100488715#1 -100488715#0 162276533#2 120511145 283490977#1 -173532317#3 -173532317#2 -173532317#1 -173532317#0 47374679#0 47374679#1 101754282#1 101754278#1 -101752975#2 -101752975#1,3.7846007949616123
7,34,-659278038#3 659278038#3 100475365#0 100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -100488715#6 -100488715#5 -100488715#4 101418592 101418584#2 101418584#3 101418584#4 416373452 -100525445 526438862#0 526438862#1 526438862#2 101418589 -1200809291,1.7611915531889626
7,34,-659278038#3 659278038#3 100475365#0 100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -101605219 -100488715#5 -100488715#4 101418592 101418584#2 101418584#3 101418584#4 416373452 -100525445 526438862#0 526438862#1 526438862#2 101418589 -1200809291,1.8662930322255016
7,34,-659278038#3 659278038#3 100475365#0 100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -101605219 -100488715#5 120829754 -120829754 -100488715#4 101418592 101418584#2 101418584#3 101418584#4 416373452 -100525445 526438862#0 526438862#1 526438862#2 101418589 -1200809291,3.824386557405358
8,8,-101609498#5 -101609498#4 -101609498#3 101608828 -101607966#0 101607969#1 100468681#4 100468681#5 100468681#6 100468681#7 100468681#8 282479126 133906980 133906979 282479125#0 282479125#1 120511930 42762428#1 1164653913 463830226#0 463830226#1 101411570 282689981#1 -120511301 120509990 120509991 282689983#0 282689983#1,3.359883507038524
8,8,-101609498#5 -101609498#4 -101609498#3 101608828 -101607966#0 101607969#1 100468681#4 100468681#5 100468681#6 100468681#7 100468681#8 282479126 133906980 133906979 282479125#0 282479125#1 120511930 42762428#1 1164653913 463830226#0 -416376586 71223791#1 101411570 282689981#1 -120511301 120509990 120509991 282689983#0 282689983#1,3.812508257442645
8,8,-101609498#5 -101609498#4 -101609498#3 101608828 -101607966#0 101607969#1 100468681#4 100468681#5 100468681#6 100468681#7 100468681#8 282479126 133906980 133906979 282479125#0 282479125#1 120511930 42762428#1 42762428#4 71324344 463830226#0 463830226#1 101411570 282689981#1 -120511301 120509990 120509991 282689983#0 282689983#1,3.368442740667181
9,9,-120511302 120511302 71324347#1 71324347#2 71324347#3 101418583 526438862#2 1200809292 868087112 526439431#0 526439431#1 623959719 619185406 619184994 1164659927#1 1164659928 -372606529#8 -372606529#7 -372606529#6 -372606529#5 -372606529#4,2.451390880093044
9,9,-120511302 120511302 71324347#1 71324347#2 71324347#3 101418583 526438862#2 1200809292 868087112 526439431#0 526439431#1 697042776#0 697042776#2 42762428#1 42762428#4 1197063689 282479127#0 101611060 -372606529#7 -372606529#6 -372606529#5 -372606529#4,2.4356445815736363
9,9,-120511302 120511302 71324347#1 71324347#2 71324347#3 101418583 526438862#2 1200809292 868087112 526439431#0 526439431#1 623959719 619185406 619184994 -619184994 120511930 42762428#1 42762428#4 1197063689 282479127#0 101611060 -372606529#7 -372606529#6 -372606529#5 -372606529#4,3.387785437916173
10,10,101416508#0 -101416509 -71324343#2 -71324343#1 -416375814 679068326#3 101411570 282689981#1 -120511301 120509990 71324347#0 71324347#1 71324347#2 71324347#3 101418583,2.0035718089204906
10,10,101416508#0 101416508#1 -101416507 101415864#1 679068326#2 679068326#3 101411570 282689981#1 -120511301 120509990 71324347#0 71324347#1 71324347#2 71324347#3 101418583,1.9575896003423148
10,10,101416508#0 101416508#1 101416508#2 679068326#1 679068326#2 679068326#3 101411570 282689981#1 -120511301 120509990 71324347#0 71324347#1 71324347#2 71324347#3 101418583,1.9936320086663355
11,11,-47374680#7 -47374680#6 -47374680#5 -47374680#4 47374665#0 47374666 659281081#0 659281081#1 526438862#0 526438862#1 526438862#2,1.9464866522148427
11,11,-47374680#7 -47374680#6 -47374680#5 -47374680#4 -47374680#3 47374680#3 47374665#0 47374666 659281081#0 659281081#1 526438862#0 526438862#1 526438862#2,1.9916247074369315
11,11,-47374680#7 -47374680#6 47374680#6 47374680#7 47374680#8 -101411571#0 120509990 71324347#0 71324347#1 71324347#2 71324347#3 101418583 526438862#2,1.597953019821703
12,12,336863934 101594812#2 -101594836#1 -101594836#0 -372606529#1 -372606529#0 -101607965 101607964#1 101607969#0 101607969#1 -100468681#3 -101600741#4 101601553#0 101601553#1 100525438#1 100525438#2 659278038#0 659278038#1 659278038#2 659278038#3 100475365#0 100475365#1,2.7499707010233907
12,12,336863934 101594812#2 -101594836#1 -101594836#0 -372606529#1 -372606529#0 -101607965 101607964#1 101607969#0 101607969#1 100468681#4 100468681#5 100468681#6 100525438#0 100525438#1 100525438#2 659278038#0 659278038#1 659278038#2 659278038#3 100475365#0 100475365#1,2.5002126408518777
12,12,336863934 101594812#2 -101594836#1 -101594836#0 -372606529#1 -372606529#0 -101607965 101607964#1 101607969#0 101607969#1 -100468681#3 -101600741#4 101600741#4 100468681#3 100468681#4 100468681#5 100468681#6 100525438#0 100525438#1 100525438#2 659278038#0 659278038#1 659278038#2 659278038#3 100475365#0 100475365#1,2.7884371459166823
13,13,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 100475366 100475359 282689984#0 282689984#1 619185406 619184994 1164659927#1 1164659928 -372606529#8 -372606529#7 -372606529#6 -372606529#5 -372606529#4 -372606529#3 -372606529#2 101594836#0 101594809#0 336863934,1.856809347209006
13,13,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 100475366 100475359 282689984#0 282689984#1 619185406 619184994 -619184994 120511930 42762428#1 42762428#4 1197063689 282479127#0 101611060 -372606529#7 -372606529#6 -372606529#5 -372606529#4 -372606529#3 -372606529#2 101594836#0 101594809#0 336863934,2.7932039050321356
13,13,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 100475366 100475359 282689984#0 282689984#1 619185406 619184994 1164659927#1 1164659928 -372606529#8 -372606529#7 -372606529#6 -101611600 101611600 -372606529#5 -372606529#4 -372606529#3 -372606529#2 101594836#0 101594809#0 336863934,2.035043088509702
13,25,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 282479151#7 282479151#1 100475362 -659278038#3 -659278038#2 101604503 101604513#1 -101604513#1,0.46570963878712035
13,25,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 282479151#7 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 659278038#1 101604503 101604513#1 -101604513#1,0.5376184022925224
13,25,100475365#1 282479151#3 -1047409997 1047409997 282479151#4 282479151#5 282479151#6 282479151#7 282479151#1 100475362 -659278038#3 -659278038#2 101604503 101604513#1 -101604513#1,0.4740129745202617
13,32,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 282479151#7 282479151#1 100475362 -659278038#3 -101601832#2 -101601832#1 -101601832#0,0.4714420397388617
13,32,100475365#1 282479151#3 -1047409997 1047409997 282479151#4 282479151#5 282479151#6 282479151#7 282479151#1 100475362 -659278038#3 -101601832#2 -101601832#1 -101601832#0,0.479745375472003
13,32,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 282479151#7 282479151#1 100475362 -659278038#3 -101601832#2 -101601830 101601830 -101601832#1 -101601832#0,0.5694501990861139
13,36,100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -100488715#6 -100488715#5 -100488715#4 101418592 101418584#2 101418584#3 101418584#4 416373452 -100525445 526438862#0 526438862#1 526438862#2 101418589 -101418589 1200809292 868087112 526439431#0 526439431#1 42762429 1323419246 -416373452 101418587 -101418587 -101418584#4 -101418584#3 -101418584#2 -101418592 100488715#4 100488715#5 100488715#6 -101605219 101605219 100488715#7 100488714 282479151#6 100475366 100475359 282689984#0 282689984#1 619185406 120511930 42762428#1 1164653913 463830226#0 -416376586 71223791#1 101411570 282689981#1 -120511301 120509990 71324347#0 71324347#1 71324347#2 71324347#3,6.497179086192851
13,36,100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -101605219 -100488715#5 -100488715#4 101418592 101418584#2 101418584#3 101418584#4 416373452 -100525445 526438862#0 526438862#1 526438862#2 101418589 625955757 71324347#2 71324347#3,1.9713752591899707
13,36,100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -101605219 101605219 -100488715#6 -100488715#5 -100488715#4 101418592 101418584#2 101418584#3 101418584#4 416373452 -100525445 526438862#0 526438862#1 526438862#2 101418589 625955757 71324347#2 71324347#3,2.6720213203502157
13,43,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 100475366 100475359 282689984#0 282689984#1 619185406 619184994 1164659927#1 1164659928 -372606529#8 -372606529#7 -372606529#6 -372606529#5 -372606529#4 -372606529#3 -372606529#2 -372606529#1 -372606529#0 -101607965 101607964#1 101607969#0 101607966#0 101607966#1 101607963,2.3543374009070868
13,43,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 282479151#7 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 -100525438#2 -100525438#1 -100525438#0 -100468681#6 -100468681#5 101607105 101607099 101607107 101607098#1 101607098#2 -101607965 101607964#1 101607969#0 101607966#0 101607966#1 101607963,2.6759217293828974
13,43,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 282479151#7 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 -100525438#2 -100525438#1 -100525438#0 -100468681#6 -100468681#5 101607105 -101607101 101607107 101607098#1 101607098#2 -101607965 101607964#1 101607969#0 101607966#0 101607966#1 101607963,2.67674205751415
13,65,100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -101605219 -100488715#5 -100488715#4 101418592 101418584#2 101418584#3 101418584#4 416373452 -100525445 526438862#0 526438862#1 526438862#2 101418589 625955757 71324347#2 71324347#3 71324347#4 71324347#5,2.3674783766959657
13,65,100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -100488715#6 -100488715#5 -100488715#4 101418592 101418584#2 101418584#3 101418584#4 416373452 -100525445 526438862#0 526438862#1 526438862#2 101418589 625955757 71324347#2 71324347#3 71324347#4 71324347#5,2.2623768976594265
13,65,100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -100488715#6 -100488715#5 -100488715#4 101418592 -101418592 100488715#4 100488715#5 100488715#6 -101605219 101605219 100488715#7 100488714 282479151#6 100475366 100475359 282689984#0 282689984#1 619185406 120511930 -42762428#0 -697042776#1 42762429 1323419246 -100525445 526438862#0 526438862#1 526438862#2 101418589 625955757 71324347#2 71324347#3 71324347#4 71324347#5,4.615517477145362
13,82,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 282479151#7 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 -100525438#2 -100525438#1 -100525438#0 -100468681#6 -100468681#5 101607105 101607099 101607107 101607098#1 101607098#2 -120512823#1 -120512823#0 -101609498#5 336863927#0 -101609494#1 -101609494#0,2.2693610633598293
13,82,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 100475366 100475359 282689984#0 282689984#1 619185406 619184994 1164659927#1 1164659928 -372606529#8 -372606529#7 -372606529#6 -372606529#5 -372606529#4 -372606529#3 -372606529#2 -372606529#1 -372606529#0 -120512823#1 -120512823#0 -101609498#5 336863927#0 -101609494#1 -101609494#0,1.9477767348840185
13,82,100475365#1 282479151#3 282479151#4 282479151#5 282479151#6 282479151#7 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 -100525438#2 -100525438#1 -100525438#0 -100468681#6 -100468681#5 101607105 -101607101 101607107 101607098#1 101607098#2 -120512823#1 -120512823#0 -101609498#5 336863927#0 -101609494#1 -101609494#0,2.270181391491082
14,5,-101611601 101611601 -372606529#2 -372606529#1 -372606529#0 -101607965 101607964#1 101607969#0 101607969#1 -100468681#3 -100468681#2 -100468681#1 -100468681#0,1.6286214557817367
14,5,-101611601 101611601 -372606529#2 -372606529#1 -372606529#0 -101607965 101607964#1 101607969#0 101607969#1 100468681#4 -100468681#4 -100468681#3 -100468681#2 -100468681#1 -100468681#0,1.7679423101133902
14,5,-101611601 101611601 -372606529#2 101594836#0 -101594836#0 -372606529#1 -372606529#0 -101607965 101607964#1 101607969#0 101607969#1 -100468681#3 -100468681#2 -100468681#1 -100468681#0,1.7753201352535255
14,18,-101611601 101611601 372606529#3 372606529#4 372606529#5 372606529#6 372606529#7 372606529#8 1164659929 120512822 282479125#0 282479125#1 120511930 -42762428#0 -697042776#1 42762429 1323419246 184568063 76867740 1323419243 -1323419243,2.893463346461694
14,18,-101611601 101611601 372606529#3 372606529#4 372606529#5 372606529#6 372606529#7 372606529#8 1164659929 120512822 282479125#0 282479125#1 120511930 -42762428#0 -697042776#1 42762429 1323419246 184568063 1323419245 16648700 1323419243 -1323419243,2.8602700691507703
14,18,-101611601 101611601 372606529#3 372606529#4 372606529#5 372606529#6 372606529#7 372606529#8 1164659929 120512822 282479125#0 282479125#1 120511930 -42762428#0 -697042776#1 42762429 -120511142#2 120511142#2 1323419246 184568063 76867740 1323419243 -1323419243,3.0102300531443675
15,5,-101604496#1 101604496#1 -100525438#1 -101601553#1 -101601553#0 101600741#4 -100468681#2 -100468681#1 -100468681#0,1.5343966816388184
15,5,-101604496#1 101604496#1 -100525438#1 -100525438#0 -100468681#6 -100468681#5 -100468681#4 -100468681#3 -100468681#2 -100468681#1 -100468681#0,1.4085284077633933
15,5,-101604496#1 101604496#1 -100525438#1 -101601553#1 -101601557 101601557 -101601553#0 101600741#4 -100468681#2 -100468681#1 -100468681#0,1.5761173439858305
15,15,-101604496#1 101604496#1 -100525438#1 -100525438#0 100468681#7 100468681#8 282479126 133906980 133906979 282479125#0 282479125#1 120511930 42762428#1 1164653913 463830226#0 463830226#1 101411570 282689981#1 -120511301 101411571#0 -47374680#8 -47374680#7 -47374680#6 101746498#0 101746498#1 101746498#2 -101746498#2,3.8260924672244703
15,15,-101604496#1 101604496#1 -100525438#1 -100525438#0 100468681#7 100468681#8 282479126 133906980 133906979 282479125#0 282479125#1 120511930 -42762428#0 -697042776#1 42762429 1323419246 184568063 76867740 1323419243 120511145 47374680#0 47374680#1 101415865#0 -101749449#1 101746514 -101746498#2,4.5994137611848185
15,15,-101604496#1 101604496#1 -100525438#1 -100525438#0 100468681#7 100468681#8 282479126 133906980 133906979 282479125#0 282479125#1 120511930 -42762428#0 -697042776#1 42762429 1323419246 184568063 76867740 1323419243 120511145 47374680#0 101749458#0 101749458#1 -101749449#1 101746514 -101746498#2,3.816029161844723
16,14,101594836#1 101594812#3 101594812#0 101594843 101594815#0 -659283000#5 -659283000#3 -659283000#2 -659283000#1 -659283000#0 -282479127#2 1164653914 -619184994 120511930 -42762428#0 -697042776#1 42762429 1323419246 -416373452 -101418584#4 -101418584#3 -101418584#2 -101418584#1,2.487204428207568
16,14,101594836#1 101594812#3 101594812#0 101594843 101594815#0 -659283000#5 -659283000#3 -659283000#2 -659283000#1 -659283000#0 -282479127#2 -1197063689 -42762428#4 -42762428#3 -42762428#0 -697042776#1 42762429 1323419246 -416373452 -101418584#4 -101418584#3 -101418584#2 -101418584#1,2.199609390192362
16,14,101594836#1 101594812#3 101594812#0 101594843 101594815#0 -659283000#5 -659283000#3 -659283000#2 -659283000#1 -659283000#0 -282479127#2 1164653914 -619184994 120511930 -42762428#0 -697042776#1 42762429 1323419246 -100525445 100525445 -416373452 -101418584#4 -101418584#3 -101418584#2 -101418584#1,2.7978887019170515
17,4,659281081#1 100525445 -416373452 101418587 464265154 120511142#1 75421017 619185406 120511930 42762428#1 1164653913 463830226#0 463830226#1 101411570 282689981#1 352797377 -352797377,3.1092249426768546
17,4,659281081#1 526438862#0 526438862#1 526438862#2 1200809292 868087112 526439431#0 526439431#1 687927789#0 -71324342 71223791#0 71223791#1 101411570 282689981#1 352797377 -352797377,2.4473470165604034
17,4,659281081#1 526438862#0 526438862#1 526438862#2 1200809292 868087112 526439431#0 526439431#1 697042776#0 -697042776#1 687927789#0 -71324342 71223791#0 71223791#1 101411570 282689981#1 352797377 -352797377,2.4562505779849735
17,12,659281081#1 100525445 -416373452 101418587 464265154 120511142#1 75421017 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 659278038#3 100475365#0 100475365#1,1.6394101196994277
17,12,659281081#1 100525445 -416373452 101418587 464265154 120511142#1 120511142#2 -120511142#2 75421017 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 659278038#3 100475365#0 100475365#1,1.7561768263821007
17,12,659281081#1 100525445 -416373452 101418587 -101418587 416373452 -100525445 526438862#0 526438862#1 526438862#2 1200809292 868087112 526439431#0 526439431#1 623959719 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 659278038#3 100475365#0 100475365#1,2.0671531967718693
17,15,659281081#1 100525445 184568063 76867740 1323419243 120511145 47374680#0 47374680#1 101415865#0 -101749449#1 101746514 -101746498#2,2.9253631186095745
17,15,659281081#1 100525445 184568063 76867740 1323419243 120511145 283490977#1 -173532317#3 -173532317#2 -101415865#2 -101415865#1 -101749449#1 101746514 -101746498#2,2.9551196000358386
17,15,659281081#1 100525445 184568063 76867740 1323419243 120511145 47374680#0 101749458#0 101749458#1 -101749449#1 101746514 -101746498#2,2.141978519269479
18,2,-297823021 -297823018 -297823020#1 1047412912#1 -659283000#11 -659283000#10 -659283000#8 101594822 101594815#0 -659283000#5 -659283000#3 -659283000#2 -659283000#1 -659283000#0 -282479127#2 -1197063689 -42762428#4 -42762428#3 -42762428#0 -697042776#1 42762429 1323419246 -416373452 416373452,2.572472617556741
18,2,-297823021 -297823018 -297823020#1 1047412912#1 -659283000#11 -659283000#10 -659283000#8 101594822 101594815#0 -659283000#5 -659283000#3 -659283000#2 -659283000#1 -659283000#0 -282479127#2 1164653914 -619184994 120511930 -42762428#0 -697042776#1 42762429 1323419246 -416373452 416373452,2.8600676555719473
18,2,-297823021 297823023#1 297823019#3 297823019#4 297823017 372606529#1 372606529#2 372606529#3 372606529#4 372606529#5 372606529#6 372606529#7 372606529#8 1164659929 120512822 282479125#0 282479125#1 120511930 -42762428#0 -697042776#1 42762429 1323419246 -416373452 416373452,3.0089663367146717
18,9,-297823021 297823023#1 297823019#3 297823019#4 297823017 372606529#1 372606529#2 372606529#3 372606529#4 372606529#5 -372606529#5 -372606529#4,1.312665066026411
18,9,-297823021 297823023#1 297823019#3 297823019#4 297823017 372606529#1 372606529#2 372606529#3 372606529#4 372606529#5 372606529#6 -372606529#6 -372606529#5 -372606529#4,1.4216086434573834
18,9,-297823021 297823023#1 297823019#3 297823019#4 297823017 -372606529#0 372606529#0 372606529#1 372606529#2 372606529#3 372606529#4 372606529#5 -372606529#5 -372606529#4,1.3214285714285718
18,12,-297823021 297823023#1 297823019#3 297823019#4 297823017 -372606529#0 -101607965 101607964#1 101607969#0 101607969#1 100468681#4 100468681#5 100468681#6 100525438#0 100525438#1 100525438#2 659278038#0 659278038#1 659278038#2 659278038#3 100475365#0 100475365#1,2.624982548815063
18,12,-297823021 297823023#1 297823019#3 297823019#4 297823017 -372606529#0 -101607965 101607964#1 101607969#0 101607969#1 -100468681#3 -101600741#4 101601553#0 101601553#1 100525438#1 100525438#2 659278038#0 659278038#1 659278038#2 659278038#3 100475365#0 100475365#1,2.874740608986576
18,12,-297823021 297823023#1 297823019#3 297823019#4 297823017 -372606529#0 -101607965 101607964#1 101607969#0 101607969#1 100468681#4 100468681#5 100468681#6 100525438#0 100525438#1 100525438#2 659278038#0 659278038#1 -659278038#1 -101601831 101601831 -659278038#0 -100525438#2 -101604496#1 101604496#1 -100525438#1 -101601553#1 101601553#1 -100525438#0 100468681#7 100468681#8 120511932#0 120511932#1 120511932#2 -101604499 100475363 282479151#1 100475362 -659278038#3 659278038#3 100475365#0 100475365#1,5.9410531239133535
18,16,-297823021 -297823018 -297823020#1 1047412912#1 -659283000#11 -659283000#10 -659283000#8 101594822 101594815#0 -659283000#5 -659283000#3 -659283000#2 -659283000#1 -659283000#0 -282479127#2 1164653914 -619184994 120511930 -42762428#0 -697042776#1 42762429 1323419246 184568063 76867740 1323419243 120511145 283490977#1 -173532317#3 -173532317#2 -173532317#1 -101765339#6 416382004 101754276#1 -101754276#1,4.8164426461729395
18,16,-297823021 -297823018 -297823020#1 1047412912#1 -659283000#11 -659283000#10 -659283000#8 -659283000#7 -659283000#6 -659283000#5 -659283000#3 -659283000#2 -659283000#1 -659283000#0 -282479127#2 -1197063689 -42762428#4 -42762428#3 -42762428#0 -697042776#1 42762429 1323419246 184568063 1323419245 16648700 1323419243 -162276533#2 162276533#2 120511145 283490977#1 -173532317#3 -173532317#2 -173532317#1 -101765339#6 416382004 101754276#1 -101754276#1,5.226333542776362
18,16,-297823021 297823023#1 297823019#3 297823019#4 297823017 372606529#1 372606529#2 372606529#3 372606529#4 372606529#5 372606529#6 372606529#7 372606529#8 1164659929 120512822 282479125#0 282479125#1 120511930 -42762428#0 -697042776#1 42762429 1323419246 184568063 76867740 1323419243 120511145 283490977#1 -173532317#3 -173532317#2 -173532317#1 -101765339#6 416382004 101754276#1 -101754276#1,4.965341327315664
19,17,-282689985#1 282689985#1 162276533#0 162276533#1 100488715#0 100488715#1 100488715#2 100488715#3 101418592 101418584#2 101418584#3 101418584#4 101418587 464265154 120511142#1 75421017 619185406 619184994 1164659927#1 1164659928 -372606529#8 -372606529#7 -372606529#6 -372606529#5 -372606529#4 -372606529#3 -372606529#2 -372606529#1 -372606529#0 -101607965 101607964#1 101607969#0 101607966#0 -101608828 -101609498#2 -101609498#1 -101608959,4.344090940912002
